Song Name,Artist,Year,Winner
Bad Guy,Billie Eilish O’Connell & Finneas O’Connell,2019,TRUE
Always Remember Us This Way,"Natalie Hemby, Lady Gaga, Hillary Lindsey & Lori McKenna",2019,FALSE
Bring My Flowers Now,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker",2019,FALSE
Hard Place,"Ruby Amanfu, Sam Ashworth, D. Arcelious Harris. H.E.R. & Rodney Jerkins",2019,FALSE
Lover,Taylor Swift,2019,FALSE
Norman F—ing Rockwell,Jack Antonoff & Lana Del Rey,2019,FALSE
Someone You Loved,"Tom Barnes, Lewis Capaldi, Pere Kelleher, Benjamin Kohn & Sam Roman",2019,FALSE
Truth Hurts,"Steven Cheung, Eric Frederic, Lizzo & Jesse Saint John",2019,FALSE
This Is America,Childish Gambino & Ludwig Goransson,2018,TRUE
All The Stars,"Kendrick Lamar, SZA, Al Shuckburgh, Mark Spears & Anthony Tiffith",2018,FALSE
Boo'd Up,"Larrance Dopson, Joelle James, Ella Mai & Dijon McFarlane",2018,FALSE
God's Plan,"Drake, Daveon Jackson, Brock Korsan, Ron LaTour, Matthew Samuels & Noah Shebib",2018,FALSE
In My Blood,"Teddy Geiger, Scott Harris, Shawn Mendes & Geoffrey Warburton",2018,FALSE
The Joke,"Brandi Carlile, Dave Cobb, Phil Hanseroth & Tim Hanseroth",2018,FALSE
The Middle,"Sarah Aarons, Jordan K. Johnson, Stefan Johnson, Marcus Lomax, Grey & Zedd",2018,FALSE
Shallow,"Lady Gaga, Mark Ronson, Anthony Rossomando & Andrew Wyatt",2018,FALSE
That's What I Like,"Christopher Brody Brown, James Fauntleroy, Philip Lawrence, Bruno Mars, Ray Charles McCullough II, Jeremy Reeves, Ray Romulus & Jonathan Yip",2017,TRUE
Despacito,"Daddy Yankee, Justin Bieber, Jason ""Poo Bear"" Boyd, Erika Ender, Luis Fonsi & Marty James Garton",2017,FALSE
4:44,Jay-Z & Dion Wilson,2017,FALSE
Issues,"Benjamin Levin, Mikkel Storleer, Tor Erik Hermansen, Julia Michaels & Justin Drew Tranter",2017,FALSE
1-800-273-8255,"Alessia Cara, Logic, Arjun Ivatury & Khalid",2017,FALSE
Thinking Out Loud,Ed Sheeran,2016,TRUE
Alright,"Kendrick Lamar, Mark Anthony Spears & Pharrell",2016,FALSE
Blank Space,"Max Martin, Shellback & Taylor Swift",2016,FALSE
Girl Crush,"Hillary Lindsey, Lori McKenna & Liz Rose",2016,FALSE
See You Again,"Andrew Cedar,Justin Franks, Charlie Puth & Wiz Khalifa",2016,FALSE
Stay With Me,"James Napier, William Phillips & Sam Smith",2015,TRUE
All About That Bass,Kevin Kadish & Meghan Trainor,2015,FALSE
Chandelier,Sia,2015,FALSE
Shake It Off,"Max Martin, Shellback & Taylor Swift",2015,FALSE
Take Me To Church,Hozier,2015,FALSE
Royals,Joel Little & Lorde,2014,TRUE
Just Give Me A Reason,"Jeff Bhasker, Pink & Nate Ruess",2014,FALSE
Locked Out Of Heaven,"Phillip Lawrence, Art Levine & Bruno Mars",2014,FALSE
Roar,"Lukasz Gottwalk, Max Martin, Bonnie McKee, Katy Perry & Henry Walter",2014,FALSE
Same Love,"Macklemore, Mary Lambert & Ryan Lewis",2014,FALSE
Stronger (What Doesn't Kill You),"Jorgen Elofsson, David Gamson, Greg Kurstin & Ali Tamposi",2013,FALSE
Call Me Maybe,Carly Rae Jepson,2013,FALSE
Adorn,Miguel,2013,FALSE
The A Team,Ed Sheeran,2013,FALSE
We Are Young,Fun,2013,TRUE
Holocene,Justin Vernon,2012,FALSE
Grenade,"Brody Brown, Claude Kelly, Philip Lawrence, Ari Levine, Bruno Mars & Andrew Wyatt",2012,FALSE
The Cave,Mumford & Sons,2012,FALSE
All Of The Lights,"Jeff Bhasker, Malik Jones, Warren Trotter & Kanye West",2012,FALSE
Rolling In The Deep,Adele & Paul Epworth,2012,TRUE
Love The Way You Lie,"Alexander Grant, Holly Hafferman & Eminem",2011,FALSE
The House That Built M,Tom Douglas & Allen Shambolin,2011,FALSE
F*** Yo,"Cee Lo Green, Phillip Lawrence & Bruno Mars",2011,FALSE
