song_name,artist,year,winner,title,category,workers,img,Unnamed: 0,Acousticness,Album,Artist,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,TimeSignature,Valence
All The Stars,"Kendrick Lamar, SZA, Al Shuckburgh, Mark Spears & Anthony Tiffith",2018,FALSE,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
Boo'd Up,"Larrance Dopson, Joelle James, Ella Mai & Dijon McFarlane",2018,FALSE,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
God's Plan,"Drake, Daveon Jackson, Brock Korsan, Ron LaTour, Matthew Samuels & Noah Shebib",2018,FALSE,N/A,N/A,N/A,N/A,112,0.0332,Scorpion,Drake,0.754,198973,0.449,TRUE,8.29E-05,0.552,-9.211,1,86,0.109,77.169,4,0.357
In My Blood,"Teddy Geiger, Scott Harris, Shawn Mendes & Geoffrey Warburton",2018,FALSE,N/A,N/A,N/A,N/A,164,0.069,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
The Joke,"Brandi Carlile, Dave Cobb, Phil Hanseroth & Tim Hanseroth",2018,FALSE,N/A,N/A,N/A,N/A,26,0.327,"By The Way, I Forgive You",Brandi Carlile,0.236,279373,0.578,FALSE,0.00015,0.206,-5.477,1,62,0.0404,75.367,4,0.227
The Middle,"Sarah Aarons, Jordan K. Johnson, Stefan Johnson, Marcus Lomax, Grey & Zedd",2018,FALSE,N/A,N/A,N/A,N/A,34,0.0371,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
Shallow,"Lady Gaga, Mark Ronson, Anthony Rossomando & Andrew Wyatt",2018,FALSE,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
Despacito,"Daddy Yankee, Justin Bieber, Jason ""Poo Bear"" Boyd, Erika Ender, Luis Fonsi & Marty James Garton",2017,FALSE,N/A,N/A,N/A,N/A,221,0.198,VIDA,Luis Fonsi,0.655,229360,0.797,FALSE,0,0.067,-4.787,1,79,0.153,177.928,4,0.839
4:44,Jay-Z & Dion Wilson,2017,FALSE,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
Issues,"Benjamin Levin, Mikkel Storleer, Tor Erik Hermansen, Julia Michaels & Justin Drew Tranter",2017,FALSE,N/A,N/A,N/A,N/A,14,0.349,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
1-800-273-8255,"Alessia Cara, Logic, Arjun Ivatury & Khalid",2017,FALSE,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
Alright,"Kendrick Lamar, Mark Anthony Spears & Pharrell",2016,FALSE,N/A,N/A,N/A,N/A,77,0.0742,To Pimp A Butterfly,Kendrick Lamar,0.796,219333,0.766,TRUE,0,0.0827,-5.974,1,26,0.238,110.034,4,0.558
Blank Space,"Max Martin, Shellback & Taylor Swift",2016,FALSE,N/A,N/A,N/A,N/A,1,0.103,1989 (Deluxe Edition),Taylor Swift,0.76,231827,0.703,FALSE,0,0.0913,-5.412,1,60,0.054,95.997,4,0.57
Girl Crush,"Hillary Lindsey, Lori McKenna & Liz Rose",2016,FALSE,N/A,N/A,N/A,N/A,31,0.842,Pain Killer,Little Big Town,0.5,193320,0.225,FALSE,0,0.112,-10.22,1,23,0.0302,173.788,3,0.355
See You Again,"Andrew Cedar,Justin Franks, Charlie Puth & Wiz Khalifa",2016,FALSE,N/A,N/A,N/A,N/A,23,0.0149,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
All About That Bass,Kevin Kadish & Meghan Trainor,2015,FALSE,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
Chandelier,Sia,2015,FALSE,N/A,N/A,N/A,N/A,0,0.0163,1000 Forms of Fear (Deluxe Version),Sia,0.286,216120,0.784,FALSE,6.48E-05,0.0713,-2.873,1,34,0.0749,173.793,4,0.618
Shake It Off,"Max Martin, Shellback & Taylor Swift",2015,FALSE,N/A,N/A,N/A,N/A,5,0.0647,1989 (Deluxe Edition),Taylor Swift,0.647,219200,0.8,FALSE,0,0.334,-5.384,1,59,0.165,160.078,4,0.942
Take Me To Church,Hozier,2015,FALSE,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0
